Parameter,value,Initial coverage mean, Std Dev, Max,"After merging, coverage depth Mean", Std Dev, Max,,,
m,3,14.38,75.69,32213,18.31,17.04,276,,,
m,3,11.39,67.16,31357,14.92,14.67,228,,,
m,3,11.06,76.88,40126,14.67,15.63,214,,,
m,3,12.23,76.09,38768,16.16,16.96,234,,,
m,3,12.83,83.25,42941,17.03,18.22,287,,,
m,3,18.17,101.93,37737,20.47,19.75,371,,,
m,3,29.41,174.57,57507,31.47,25.49,592,,,
m,3,26.74,178.39,61172,29.16,24.96,477,,,
m,3,29.04,202.08,70299,30.40,27.03,742,,,
m,3,36.15,202.93,67776,39.72,32.20,647,,,
m,3,20.06,121.24,38418,20.67,17.23,458,,,
m,3,26.27,142.16,44731,28.49,23.75,520,,,
m,3,21.26,144.09,46878,21.93,19.13,514,,,
m,3,17.85,163.99,63965,20.23,18.73,423,,,
m,3,23.46,183.96,62651,23.92,21.85,562,,,
m,3,15.41,74.36,27441,18.77,16.86,277,,,
m,3,15.61,66.19,22899,18.60,17.14,212,,,
m,3,15.18,73.81,27053,18.57,16.87,265,,,
m,3,14.55,64.21,22438,16.92,15.10,216,,,
m,3,20.67,91.78,31773,23.47,20.44,390,,,
m,3,20.94,81.69,27049,23.45,20.16,310,,,
m,3,22.21,101.46,35791,25.37,22.33,392,,,
m,3,15.31,73.59,27304,18.59,17.02,271,,,
m,3,21.76,110.37,42170,26.06,24.14,368,,,
m,3,23.99,117.56,43402,27.11,23.42,442,,,
m,3,12.13,65.14,21789,12.80,10.09,280,,,
m,3,17.70,74.04,24540,19.30,15.17,293,,,
m,3,9.53,83.57,42145,12.51,11.70,216,,,
m,3,8.69,42.85,16563,10.99,9.99,173,,,
m,3,9.30,68.84,31594,12.00,11.13,213,,,
m,3,8.46,53.40,22462,10.79,9.47,196,,,
m,3,12.15,62.82,20605,12.92,10.17,221,,,
m,3,19.45,103.77,36460,21.25,17.51,318,,,
m,3,19.58,30.34,4416,22.50,17.54,216,,,
m,3,10.18,81.86,38875,11.99,10.02,275,,,
m,3,20.50,125.18,43813,22.90,19.31,384,,,
m,3,14.02,122.15,40717,14.84,11.85,335,,,
m,3,27.23,179.26,70174,31.21,24.67,513,,,
m,3,25.40,150.57,56563,29.06,24.28,577,,,
m,3,20.38,112.48,40872,23.14,18.81,434,,,
m,3,13.53,106.75,36183,13.35,13.58,388,,,
m,3,18.76,93.19,33895,20.95,18.24,377,,,
m,3,21.60,111.11,40161,24.15,21.09,371,,,
m,3,23.37,133.54,52268,26.51,24.33,432,,,
m,3,20.93,95.45,33857,23.02,20.70,494,,,
