Pop1,Latitude,Longitude,Pop2,Latitude,Longitude,Distance,Fst,
RS,44.7317030,20.4075950,DK,56.2639000,9.5018000,1076.374564,0.256253,
SE-Nass,57.6520910,14.6974190,TN,36.7736000,8.6848000,1471.755012,0.255557,
TN,36.7736000,8.6848000,SE-Nass,57.6520910,14.6974190,1471.755012,0.255557,
IE-Down,54.3277000,-5.7158000,IT-Aspr,38.1666700,16.0000000,1863.938266,0.255309,
IT-Aspr,38.1666700,16.0000000,IE-Down,54.3277000,-5.7158000,1863.938266,0.255309,
IS-Rey,64.1000000,-21.8000000,SE-Karl,59.4013320,13.5125290,2461.088463,0.254826,
SE-Karl,59.4013320,13.5125290,IS-Rey,64.1000000,-21.8000000,2461.088463,0.254826,
IS-Horn,64.3858000,-15.2892000,IT-Aspr,38.1666700,16.0000000,2806.503156,0.254694,
IT-Aspr,38.1666700,16.0000000,IS-Horn,64.3858000,-15.2892000,2806.503156,0.254694,
SE-Halm,56.6732080,12.8572190,TN,36.7736000,8.6848000,1380.864957,0.25413,
TN,36.7736000,8.6848000,SE-Halm,56.6732080,12.8572190,1380.864957,0.25413,
IE-Down,54.3277000,-5.7158000,IT-Abruz,42.4576000,13.9275000,1582.915519,0.254037,
IT-Abruz,42.4576000,13.9275000,IE-Down,54.3277000,-5.7158000,1582.915519,0.254037,
IT-Abruz,42.4576000,13.9275000,PL-Bory,53.7994342,17.5422478,794.4896237,0.253936,
PL-Bory,53.7994342,17.5422478,IT-Abruz,42.4576000,13.9275000,794.4896237,0.253936,
BE-Namur,50.6474000,4.8720000,IS-Horn,64.3858000,-15.2892000,1681.001832,0.253735,
IS-Horn,64.3858000,-15.2892000,BE-Namur,50.6474000,4.8720000,1681.001832,0.253735,
PL-Bory,53.7994342,17.5422478,TN,36.7736000,8.6848000,1297.813554,0.253069,
TN,36.7736000,8.6848000,PL-Bory,53.7994342,17.5422478,1297.813554,0.253069,
ES-Cuen,40.0202690,-1.8215450,IE,53.4129000,-8.2439000,1022.780486,0.252964,
IE,53.4129000,-8.2439000,ES-Cuen,40.0202690,-1.8215450,1022.780486,0.252964,
IS-Rey,64.1000000,-21.8000000,RS,44.7317030,20.4075950,3196.501114,0.252886,
RS,44.7317030,20.4075950,IS-Rey,64.1000000,-21.8000000,3196.501114,0.252886,
IT-Cal,38.1144388,15.6500000,PT-Cast,39.7010980,-7.3040680,1590.025866,0.252804,
PT-Cast,39.7010980,-7.3040680,IT-Cal,38.1144388,15.6500000,1590.025866,0.252804,
IS-Horn,64.3858000,-15.2892000,IT-Abruz,42.4576000,13.9275000,2514.527966,0.252799,
IT-Abruz,42.4576000,13.9275000,IS-Horn,64.3858000,-15.2892000,2514.527966,0.252799,
IE-Down,54.3277000,-5.7158000,TN,36.7736000,8.6848000,1566.311264,0.251632,
TN,36.7736000,8.6848000,IE-Down,54.3277000,-5.7158000,1566.311264,0.251632,
IE,53.4129000,-8.2439000,SE-Karl,59.4013320,13.5125290,1558.680718,0.25106,
SE-Karl,59.4013320,13.5125290,IE,53.4129000,-8.2439000,1558.680718,0.25106,
FR-Port,43.0036000,6.3944000,WL-Angl,53.2143000,-4.3661000,1024.355973,0.250891,
WL-Angl,53.2143000,-4.3661000,FR-Port,43.0036000,6.3944000,1024.355973,0.250891,
IT-Cal,38.1144388,15.6500000,WL-Angl,53.2143000,-4.3661000,1726.405,0.250749,
WL-Angl,53.2143000,-4.3661000,IT-Cal,38.1144388,15.6500000,1726.405,0.250749,
ES-Avi,40.1371230,-5.2501880,IS-Horn,64.3858000,-15.2892000,1786.42696,0.250685,
IS-Horn,64.3858000,-15.2892000,ES-Avi,40.1371230,-5.2501880,1786.42696,0.250685,
PT-Cast,39.7010980,-7.3040680,RS,44.7317030,20.4075950,1945.371464,0.250406,
RS,44.7317030,20.4075950,PT-Cast,39.7010980,-7.3040680,1945.371464,0.250406,
IE,53.4129000,-8.2439000,RS,44.7317030,20.4075950,2066.100663,0.24986,
RS,44.7317030,20.4075950,IE,53.4129000,-8.2439000,2066.100663,0.24986,
BE-Namur,50.6474000,4.8720000,IT-Cal,38.1144388,15.6500000,1130.806674,0.249402,
IT-Cal,38.1144388,15.6500000,BE-Namur,50.6474000,4.8720000,1130.806674,0.249402,
IT-Aspr,38.1666700,16.0000000,PL-Bory,53.7994342,17.5422478,1039.56723,0.249299,
PL-Bory,53.7994342,17.5422478,IT-Aspr,38.1666700,16.0000000,1039.56723,0.249299,
ES-Sal,40.9777810,-5.9651370,IT-Cal,38.1144388,15.6500000,1506.581153,0.249126,
IT-Cal,38.1144388,15.6500000,ES-Sal,40.9777810,-5.9651370,1506.581153,0.249126,
