Parameter,Value,Initial coverage,Stdev,Max,After merging ,Stdev,Max,,,
m,2,16.85,30.16,5436,20.46,18.09,153,,,
m,2,17.50,29.33,4536,22.57,19.84,202,,,
m,2,22.80,36.24,5190,29.85,24.56,251,,,
m,2,26.60,46.94,7796,37.36,31.69,311,,,
m,2,18.23,34.35,5522,22.36,19.23,186,,,
m,2,18.62,34.53,5264,22.92,21.48,193,,,
m,2,26.31,47.65,6482,36.11,33.13,267,,,
m,2,16.49,30.74,4542,19.26,18.78,208,,,
m,2,10.57,26.59,5925,12.94,14.79,144,,,
m,2,12.67,25.27,3690,15.82,15.30,148,,,
m,2,18.44,35.99,4935,22.99,23.07,199,,,
m,2,18.18,49.94,19415,22.79,23.62,266,,,
m,2,21.98,39.39,6903,27.81,26.08,252,,,
m,2,20.24,33.50,3516,24.99,23.35,210,,,
m,2,16.49,36.08,4994,19.97,19.99,163,,,
m,2,8.96,21.04,2616,9.21,8.55,118,,,
m,2,18.61,33.57,5679,22.73,21.84,202,,,
m,2,14.43,31.80,6288,18.08,19.71,157,,,
m,2,18.64,38.87,6184,23.46,21.90,201,,,
m,2,22.05,32.75,2651,27.08,22.91,212,,,
m,2,36.97,77.14,10155,59.55,54.56,378,,,
m,2,2.52,3.58,67,2.28,0.96,10,,,
m,2,19.53,36.91,4398,23.48,19.69,201,,,
m,2,15.10,32.01,5516,18.88,17.08,174,,,
m,2,12.79,22.66,4466,14.94,13.13,138,,,
m,2,17.09,38.29,5644,21.32,19.67,178,,,
m,2,14.21,25.32,4482,17.69,15.30,161,,,
m,2,19.24,143.49,54353,22.52,21.23,384,,,
m,2,17.75,33.90,6287,21.98,19.69,176,,,
m,2,13.79,45.82,18986,17.82,19.35,207,,,
m,2,24.35,46.18,6455,31.97,27.44,220,,,
m,2,16.39,27.67,4021,19.45,17.69,153,,,
m,2,14.73,26.55,3977,17.09,15.85,137,,,
m,2,17.75,33.91,4580,21.92,20.73,183,,,
m,2,25.24,43.91,5739,33.43,30.20,283,,,
m,2,24.72,44.63,5925,32.84,29.18,213,,,
m,3,18.51,27.14,3648,20.33,15.05,161,,,
m,3,20.40,31.18,4042,22.88,17.30,179,,,
m,3,19.10,27.72,4387,21.53,15.83,177,,,
m,3,14.61,114.59,42932,15.79,13.21,348,,,
m,3,23.86,33.67,4155,27.03,21.09,204,,,
m,3,20.75,26.38,2811,23.33,16.96,205,,,
m,3,32.83,46.98,4464,38.24,32.08,333,,,
m,3,22.85,29.67,3027,25.05,18.10,179,,,
m,3,11.06,19.14,2173,11.92,8.24,99,,,
m,3,22.76,29.90,2279,25.49,19.80,168,,,
m,3,12.58,19.43,3036,14.29,10.19,94,,,
m,3,20.02,31.28,3617,23.94,19.26,181,,,
m,3,24.10,51.65,9086,26.65,21.86,240,,,
m,3,17.36,33.69,6326,19.08,14.71,186,,,
m,3,20.81,26.98,2897,23.40,17.72,169,,,
m,3,26.38,35.45,3728,29.63,23.09,178,,,
m,3,34.70,53.10,4593,41.19,35.92,285,,,
m,3,22.45,30.68,3633,25.40,19.16,186,,,
m,3,30.39,40.78,5556,35.39,26.74,256,,,
m,3,23.79,83.46,28134,27.32,23.60,414,,,
m,3,25.78,36.63,2778,29.25,24.03,222,,,
m,3,14.75,24.38,3008,15.93,10.81,132,,,
m,3,20.99,26.26,2926,23.54,17.15,160,,,
m,3,28.35,49.56,7175,32.57,25.56,265,,,
m,3,20.90,80.40,26363,23.62,19.51,298,,,
m,3,22.06,32.77,4234,24.77,18.15,195,,,
m,3,19.34,32.13,6078,20.90,18.30,189,,,
m,3,21.42,30.06,3870,24.14,17.35,177,,,
m,3,37.48,80.47,10527,43.20,33.45,336,,,
m,3,28.50,48.35,5722,32.56,24.07,272,,,
m,3,19.33,35.28,4972,20.98,16.58,229,,,included
m,3,30.25,42.70,7757,34.37,27.11,259,,,
m,3,17.23,24.16,3770,18.91,13.69,149,,,
m,3,24.43,34.63,3786,27.53,21.63,194,,,
m,3,26.23,36.23,4458,29.95,23.47,248,,,
m,3,18.03,31.00,5599,20.46,15.58,173,,,
m,3,22.98,35.65,4479,27.17,21.68,191,,,included
m,3,16.62,50.79,9765,15.96,17.16,296,,,
m,3,36.80,78.91,9052,40.97,32.28,407,,,
m,3,29.17,47.34,5432,32.26,25.22,279,,,
m,3,26.00,37.25,4687,28.89,21.87,239,,,
m,3,34.30,73.86,8367,37.61,28.93,321,,,
m,3,15.60,25.02,3038,17.28,12.69,145,,,
m,3,23.31,33.01,3552,24.85,17.96,172,,,
m,3,27.40,38.26,3984,29.53,22.13,236,,,
m,3,13.32,24.60,5084,15.53,13.50,122,,,
m,3,24.74,40.10,4754,27.64,22.71,227,,,
m,3,17.05,28.06,3504,19.44,14.74,150,,,
m,3,15.41,24.21,2896,17.34,12.91,141,,,
m,3,18.80,94.34,40683,23.92,23.20,316,,,
m,3,16.64,101.92,42966,20.61,18.87,284,,,
m,3,32.02,52.62,5685,36.12,29.30,298,,,
m,3,30.03,43.54,4463,33.89,27.05,278,,,
m,3,32.20,48.09,5414,36.23,29.37,266,,,
m,3,31.10,46.08,4927,35.15,28.69,266,,,
m,3,26.22,122.04,44200,30.59,26.30,509,,,
m,3,16.22,130.11,42484,16.58,14.63,372,,,
m,3,22.75,34.66,5781,25.77,20.40,211,,,
m,3,15.41,111.01,42477,17.12,14.34,347,,,
m,3,26.43,37.36,3887,31.12,23.73,215,,,
m,3,33.25,49.59,6203,39.71,30.42,278,,,
m,3,31.57,48.32,5415,38.27,28.32,262,,,
m,3,24.19,35.45,4716,28.97,22.93,195,,,
m,3,26.23,42.07,6683,32.41,26.55,232,,,
m,3,21.49,33.52,5885,26.03,20.37,177,,,
m,3,25.01,290.70,94632,23.98,24.14,644,,,
m,3,20.26,30.92,5094,23.45,17.69,191,,,
m,3,24.13,55.67,8548,25.67,21.35,318,,,
m,3,33.81,52.22,7056,37.77,31.41,311,,,
m,3,30.95,42.85,5962,34.60,27.97,258,,,
m,3,38.38,62.69,7230,43.17,36.70,391,,,
m,3,27.55,37.29,4012,30.06,22.63,230,,,
m,3,36.74,50.58,6196,40.88,31.27,293,,,
m,3,39.95,58.76,9488,45.52,37.09,383,,,
m,3,19.80,26.99,2414,22.69,17.45,156,,,
m,3,24.37,33.08,2613,27.42,22.24,202,,,
m,3,31.49,40.91,5416,36.08,27.84,257,,,
m,3,25.87,36.40,2738,29.35,24.68,232,,,
m,3,29.03,40.76,3470,33.53,26.92,262,,,
m,3,22.56,30.37,2110,25.22,20.02,153,,,
m,3,24.50,29.90,4297,27.36,18.50,220,,,
m,3,18.88,23.26,2483,21.04,16.11,146,,,
m,3,16.53,20.22,2366,18.43,13.23,147,,,
m,3,19.33,28.91,2757,21.98,17.47,157,,,
m,3,22.86,29.57,4030,25.91,18.91,168,,,
m,3,19.74,27.48,2424,22.11,17.44,167,,,
m,3,20.97,28.78,3551,23.82,17.16,201,,,
m,3,22.24,30.17,4039,25.38,18.18,200,,,
m,3,20.55,26.66,2947,23.19,17.26,174,,,included
m,3,17.44,29.84,5723,20.95,18.38,169,,,included
m,3,23.07,35.66,5207,25.31,20.37,213,,,
m,3,20.77,28.02,2136,23.41,18.65,188,,,
m,3,25.30,33.63,3679,28.63,22.17,232,,,
m,3,27.34,37.04,4870,31.08,23.61,213,,,
m,3,26.81,35.86,2913,30.71,24.06,226,,,
m,3,21.77,28.79,2258,24.64,19.33,167,,,
m,3,27.06,38.99,5173,30.85,23.63,265,,,
m,3,21.37,29.62,3871,23.91,17.67,206,,,
m,3,28.65,40.02,3854,32.67,25.62,260,,,
m,3,34.68,47.24,6986,41.37,32.36,288,,,
m,3,24.13,37.45,5501,27.99,20.99,233,,,included
m,3,30.14,56.81,6092,34.43,29.60,320,,,
m,3,33.46,49.36,8246,39.92,30.14,278,,,
m,3,10.09,11.11,1017,10.86,7.25,62,,,
m,3,11.73,14.54,1469,12.74,8.82,99,,,
m,3,12.13,23.97,3515,13.00,9.62,108,,,
m,3,7.46,18.33,2186,7.60,4.72,74,,,
m,3,7.64,20.17,2597,7.74,4.79,91,,,
m,3,10.81,15.93,1598,11.57,8.19,86,,,
m,3,9.23,11.94,1047,9.92,6.33,73,,,
m,3,12.60,16.29,1638,13.56,10.15,105,,,
m,3,10.69,12.65,1175,11.56,7.78,77,,,
m,3,9.42,10.69,998,10.08,6.60,54,,,
m,3,16.83,33.03,5129,20.09,17.77,199,,,
m,3,9.35,9.65,889,10.04,6.37,56,,,
m,3,10.57,31.07,3947,10.92,7.69,152,,,
m,3,10.66,25.56,3251,11.21,7.79,109,,,
m,3,19.68,27.28,2749,21.33,18.71,149,,,
m,3,21.20,35.63,4087,22.94,20.94,188,,,
m,3,7.14,9.33,961,7.46,4.41,44,,,
m,3,11.80,17.28,1534,12.63,9.26,97,,,
m,3,8.32,8.32,776,8.90,5.32,61,,,
m,3,8.56,9.66,833,9.17,5.69,61,,,
m,3,30.99,48.59,5256,34.05,33.53,288,,,
m,3,6.14,9.41,811,6.25,3.65,48,,,
m,3,14.54,19.36,1548,15.72,12.15,115,,,
m,3,15.26,35.48,3523,17.04,13.47,158,,,
m,3,6.34,56.38,5471,5.90,4.23,197,,,
m,3,19.43,28.86,3362,21.69,15.34,187,,,
m,3,25.95,44.76,5184,29.31,21.70,237,,,
m,3,16.88,24.38,3856,19.38,14.49,167,,,
m,3,23.90,50.70,5633,26.44,20.28,230,,,
m,3,28.06,46.83,5569,32.43,27.59,335,,,
m,3,5.89,56.54,5947,5.11,3.38,114,,,
m,3,14.72,18.61,2888,15.95,11.90,112,,,
m,3,10.11,42.51,18411,12.09,9.62,139,,,
m,3,7.34,43.85,7452,7.71,5.35,132,,,
m,3,6.04,28.45,2293,5.75,3.50,104,,,
m,3,5.51,22.28,6598,5.87,3.60,74,,,
m,3,7.65,19.10,2921,8.61,5.70,101,,,
m,3,13.13,24.02,3114,14.20,11.46,128,,,
m,3,30.22,46.12,5111,34.87,28.44,286,,,included
m,3,24.28,40.28,5819,29.49,23.10,219,,,no
m,3,32.37,47.80,8025,37.10,31.82,315,,,no
m,3,17.22,25.78,3401,18.48,14.39,152,,,
m,3,22.66,39.60,5723,25.72,23.48,209,,,
m,3,9.85,11.28,892,10.62,6.79,61,,,
