Pop,Longitude,Latitude,Pop,Longitude,Latitude,Distance,Fst,Group
PL-Bob,16.567544,53.923758,SE-Nass,14.6974,57.6521,267.6830715,0.376051,SN
SE-Nass,14.6974,57.6521,PL-Bob,16.567544,53.923758,267.6830715,0.376051,NS
PL-Sier,17.474509,54.09711,RU-Tall,24.7536,59.437,460.0837473,0.375835,SN
RU-Tall,24.7536,59.437,PL-Sier,17.474509,54.09711,460.0837473,0.375835,NS
DE-Bad,11.9383,52.9546,GR-Mac,22.4511,40.9469,964.468994,0.374738,N
GR-Mac,22.4511,40.9469,DE-Bad,11.9383,52.9546,964.468994,0.374738,N
FR-Ser,2.3373,45.3602,PL-Sier,17.474509,54.09711,903.1513925,0.374393,NS
PL-Sier,17.474509,54.09711,FR-Ser,2.3373,45.3602,903.1513925,0.374393,NS
FR-Ver,5.5301,43.5986,PL-Swie,20.926346,50.895887,878.1451708,0.373616,NS
PL-Swie,20.926346,50.895887,FR-Ver,5.5301,43.5986,878.1451708,0.373616,NS
DE-Bad,11.9383,52.9546,RU-Tall,24.7536,59.437,663.9179435,0.373528,N
RU-Tall,24.7536,59.437,DE-Bad,11.9383,52.9546,663.9179435,0.373528,N
FR-Ver,5.5301,43.5986,IT-Abru,13.9275,42.4576,431.2981707,0.372792,N
IT-Abru,13.9275,42.4576,FR-Ver,5.5301,43.5986,431.2981707,0.372792,N
PL-Swie,20.926346,50.895887,SE-Nass,14.6974,57.6521,529.7591668,0.371397,SN
SE-Nass,14.6974,57.6521,PL-Swie,20.926346,50.895887,529.7591668,0.371397,NS
DE-Bad,11.9383,52.9546,PL-Dzie,14.99795,52.731386,128.6321666,0.371105,NS
PL-Dzie,14.99795,52.731386,DE-Bad,11.9383,52.9546,128.6321666,0.371105,NS
EN-Kent,0.4527,51.2468,PL-Sier,17.474509,54.09711,737.9678641,0.370696,NS
PL-Sier,17.474509,54.09711,EN-Kent,0.4527,51.2468,737.9678641,0.370696,NS
PL-Sier,17.474509,54.09711,RO-Mar,22.5417,45.3986,641.8997234,0.370363,SN
RO-Mar,22.5417,45.3986,PL-Sier,17.474509,54.09711,641.8997234,0.370363,NS
EN-Kent,0.4527,51.2468,RU-Vol,44.4525,48.681,1934.559696,0.369736,N
RU-Vol,44.4525,48.681,EN-Kent,0.4527,51.2468,1934.559696,0.369736,N
GR-Vern,20.7643,39.5706,PL-Sier,17.474509,54.09711,1015.592254,0.369647,NS
PL-Sier,17.474509,54.09711,GR-Vern,20.7643,39.5706,1015.592254,0.369647,NS
DE-Bad,11.9383,52.9546,GR-Vern,20.7643,39.5706,1014.735484,0.369492,N
GR-Vern,20.7643,39.5706,DE-Bad,11.9383,52.9546,1014.735484,0.369492,N
EN-Kent,0.4527,51.2468,IT-Abru,13.9275,42.4576,877.4964087,0.368862,N
IT-Abru,13.9275,42.4576,EN-Kent,0.4527,51.2468,877.4964087,0.368862,N
DE-Bad,11.9383,52.9546,FR-Ser,2.3373,45.3602,679.7825221,0.368319,N
FR-Ser,2.3373,45.3602,DE-Bad,11.9383,52.9546,679.7825221,0.368319,N
FR-Ser,2.3373,45.3602,RU-Vol,44.4525,48.681,1971.921774,0.368041,N
RU-Vol,44.4525,48.681,FR-Ser,2.3373,45.3602,1971.921774,0.368041,N
PL-Dzie,14.99795,52.731386,PL-Sier,17.474509,54.09711,138.9599521,0.367224,SS
PL-Sier,17.474509,54.09711,PL-Dzie,14.99795,52.731386,138.9599521,0.367224,SN
DE-Bad,11.9383,52.9546,PL-Ryj,18.945785,53.853784,295.1874692,0.365872,NS
PL-Ryj,18.945785,53.853784,DE-Bad,11.9383,52.9546,295.1874692,0.365872,NS
FR-Ser,2.3373,45.3602,IT-Abru,13.9275,42.4576,610.2604575,0.365869,N
IT-Abru,13.9275,42.4576,FR-Ser,2.3373,45.3602,610.2604575,0.365869,N
EN-Kent,0.4527,51.2468,SE-Nass,14.6974,57.6521,721.1703493,0.36454,N
SE-Nass,14.6974,57.6521,EN-Kent,0.4527,51.2468,721.1703493,0.36454,N
DE-Bad,11.9383,52.9546,RO-Mar,22.5417,45.3986,707.1822724,0.363688,N
RO-Mar,22.5417,45.3986,DE-Bad,11.9383,52.9546,707.1822724,0.363688,N
FR-Ser,2.3373,45.3602,RU-Tall,24.7536,59.437,1343.667809,0.363083,N
RU-Tall,24.7536,59.437,FR-Ser,2.3373,45.3602,1343.667809,0.363083,N
IT-Abru,13.9275,42.4576,SE-Fal,15.6275,60.606,1256.22586,0.36293,N
SE-Fal,15.6275,60.606,IT-Abru,13.9275,42.4576,1256.22586,0.36293,N
EN-Kent,0.4527,51.2468,GR-Mac,22.4511,40.9469,1264.210546,0.361618,N
GR-Mac,22.4511,40.9469,EN-Kent,0.4527,51.2468,1264.210546,0.361618,N
IT-Cal,15.65,38.1144,SE-Karl,15.5861,56.1603,1247.121274,0.361578,N
SE-Karl,15.5861,56.1603,IT-Cal,15.65,38.1144,1247.121274,0.361578,N
DE-Bad,11.9383,52.9546,EN-Kent,0.4527,51.2468,501.0617932,0.361157,N
EN-Kent,0.4527,51.2468,DE-Bad,11.9383,52.9546,501.0617932,0.361157,N
DE-Bad,11.9383,52.9546,PL-Swie,20.926346,50.895887,408.28061,0.359862,NS
PL-Swie,20.926346,50.895887,DE-Bad,11.9383,52.9546,408.28061,0.359862,NS
IT-Cal,15.65,38.1144,PL-Olk,19.576457,50.216353,858.3758125,0.359647,NS
PL-Olk,19.576457,50.216353,IT-Cal,15.65,38.1144,858.3758125,0.359647,NS
EN-Kent,0.4527,51.2468,RU-Tall,24.7536,59.437,1100.878766,0.359578,N
RU-Tall,24.7536,59.437,EN-Kent,0.4527,51.2468,1100.878766,0.359578,N
EN-Shro,-2.9984,52.49,IT-Cal,15.65,38.1144,1336.943149,0.359418,N
IT-Cal,15.65,38.1144,EN-Shro,-2.9984,52.49,1336.943149,0.359418,N
GR-Mac,22.4511,40.9469,RU-Tall,24.7536,59.437,1281.681409,0.359403,N
RU-Tall,24.7536,59.437,GR-Mac,22.4511,40.9469,1281.681409,0.359403,N
EN-Kent,0.4527,51.2468,GR-Vern,20.7643,39.5706,1266.219311,0.358972,N
GR-Vern,20.7643,39.5706,EN-Kent,0.4527,51.2468,1266.219311,0.358972,N
PL-Swie,20.926346,50.895887,RU-Vol,44.4525,48.681,1056.151727,0.358775,SN
RU-Vol,44.4525,48.681,PL-Swie,20.926346,50.895887,1056.151727,0.358775,NS
PL-Ryj,18.945785,53.853784,PL-Sier,17.474509,54.09711,62.11755777,0.35861,SS
PL-Sier,17.474509,54.09711,PL-Ryj,18.945785,53.853784,62.11755777,0.35861,SS
PL-Dzie,14.99795,52.731386,RU-Vol,44.4525,48.681,1309.328662,0.358532,SN
RU-Vol,44.4525,48.681,PL-Dzie,14.99795,52.731386,1309.328662,0.358532,NS
GR-Mac,22.4511,40.9469,PL-Dzie,14.99795,52.731386,886.2076816,0.35841,NS
PL-Dzie,14.99795,52.731386,GR-Mac,22.4511,40.9469,886.2076816,0.35841,NS
RU-Vol,44.4525,48.681,SE-Fal,15.6275,60.606,1398.575409,0.358286,N
SE-Fal,15.6275,60.606,RU-Vol,44.4525,48.681,1398.575409,0.358286,N
GR-Mac,22.4511,40.9469,RU-Vol,44.4525,48.681,1197.903441,0.356549,N
RU-Vol,44.4525,48.681,GR-Mac,22.4511,40.9469,1197.903441,0.356549,N
EN-Kent,0.4527,51.2468,RO-Mar,22.5417,45.3986,1087.30582,0.35629,N
RO-Mar,22.5417,45.3986,EN-Kent,0.4527,51.2468,1087.30582,0.35629,N
GR-Vern,20.7643,39.5706,RU-Tall,24.7536,59.437,1383.952305,0.356161,N
RU-Tall,24.7536,59.437,GR-Vern,20.7643,39.5706,1383.952305,0.356161,N
FR-Ser,2.3373,45.3602,GR-Mac,22.4511,40.9469,1055.708782,0.356075,N
GR-Mac,22.4511,40.9469,FR-Ser,2.3373,45.3602,1055.708782,0.356075,N
DE-Bad,11.9383,52.9546,PL-Ostr,19.958726,53.741945,335.13094,0.355272,NS
PL-Ostr,19.958726,53.741945,DE-Bad,11.9383,52.9546,335.13094,0.355272,NS
PL-Ostr,19.958726,53.741945,PL-Sier,17.474509,54.09711,104.0362263,0.354441,SS
PL-Sier,17.474509,54.09711,PL-Ostr,19.958726,53.741945,104.0362263,0.354441,SS
PL-Dzie,14.99795,52.731386,RU-Tall,24.7536,59.437,595.6471928,0.353377,SN
RU-Tall,24.7536,59.437,PL-Dzie,14.99795,52.731386,595.6471928,0.353377,NS
FR-Ser,2.3373,45.3602,GR-Vern,20.7643,39.5706,1018.064584,0.352657,N
GR-Vern,20.7643,39.5706,FR-Ser,2.3373,45.3602,1018.064584,0.352657,N
FR-Ser,2.3373,45.3602,RO-Mar,22.5417,45.3986,978.1802762,0.352149,N
RO-Mar,22.5417,45.3986,FR-Ser,2.3373,45.3602,978.1802762,0.352149,N
IT-Cal,15.65,38.1144,PL-Swie,20.926346,50.895887,920.1819902,0.351668,NS
PL-Swie,20.926346,50.895887,IT-Cal,15.65,38.1144,920.1819902,0.351668,NS
GR-Mac,22.4511,40.9469,SE-Fal,15.6275,60.606,1389.179277,0.351646,N
SE-Fal,15.6275,60.606,GR-Mac,22.4511,40.9469,1389.179277,0.351646,N
PL-Sier,17.474509,54.09711,SE-Fal,15.6275,60.606,455.0104613,0.351436,SN
SE-Fal,15.6275,60.606,PL-Sier,17.474509,54.09711,455.0104613,0.351436,NS
DE-Bad,11.9383,52.9546,RU-Vor,39.2089,51.6755,1148.510105,0.351421,N
RU-Vor,39.2089,51.6755,DE-Bad,11.9383,52.9546,1148.510105,0.351421,N
EN-Kent,0.4527,51.2468,PL-Dzie,14.99795,52.731386,626.3341892,0.351278,NS
PL-Dzie,14.99795,52.731386,EN-Kent,0.4527,51.2468,626.3341892,0.351278,NS
ES-Cat,2.3912,41.7856,SE-Nass,14.6974,57.6521,1222.266453,0.351045,N
SE-Nass,14.6974,57.6521,ES-Cat,2.3912,41.7856,1222.266453,0.351045,N
GR-Vern,20.7643,39.5706,SE-Fal,15.6275,60.606,1470.387138,0.350061,N
SE-Fal,15.6275,60.606,GR-Vern,20.7643,39.5706,1470.387138,0.350061,N
DE-Bad,11.9383,52.9546,PL-Bob,16.567544,53.923758,201.9493172,0.349764,NS
PL-Bob,16.567544,53.923758,DE-Bad,11.9383,52.9546,201.9493172,0.349764,NS
PL-Sier,17.474509,54.09711,RU-Vor,39.2089,51.6755,917.8139058,0.34962,SN
RU-Vor,39.2089,51.6755,PL-Sier,17.474509,54.09711,917.8139058,0.34962,NS
RU-Tall,24.7536,59.437,RU-Vol,44.4525,48.681,1083.660142,0.349511,N
RU-Vol,44.4525,48.681,RU-Tall,24.7536,59.437,1083.660142,0.349511,N
RO-Mar,22.5417,45.3986,SE-Fal,15.6275,60.606,1088.145425,0.349231,N
SE-Fal,15.6275,60.606,RO-Mar,22.5417,45.3986,1088.145425,0.349231,N
FR-Ser,2.3373,45.3602,PL-Dzie,14.99795,52.731386,765.092328,0.34916,NS
PL-Dzie,14.99795,52.731386,FR-Ser,2.3373,45.3602,765.092328,0.34916,NS
IT-Abru,13.9275,42.4576,PL-Bob,16.567544,53.923758,801.5371822,0.349136,NS
PL-Bob,16.567544,53.923758,IT-Abru,13.9275,42.4576,801.5371822,0.349136,NS
FR-Ser,2.3373,45.3602,PL-Ryj,18.945785,53.853784,943.5601182,0.34911,NS
